category,condition,mailing,prefecture,day
--,--,--,--,--
レディーズ,新品、未使用,着払い(購入者負担),愛知県,1~2日で発送
メンズ,未使用に近い,送料込み(出品者負担),青森県,2~3日で発送
ベビー・キッズ,目立った傷や汚れなし,,秋田県,4~7日で発送
インテリア・住まい・小物,やや傷や汚れあり,,石川県,
本・音楽・ゲーム,全体的に状態が悪い,,茨城県,
おもちゃ・ホビー・グッズ,,,岩手県,
家電・スマホ・カメラ,,,愛媛県,
スポーツ・レジャー,,,大分県,
ハンドメイド,,,大阪府,
その他,,,岡山県,
,,,沖縄県,
,,,香川県,
,,,鹿児島県,
,,,神奈川県,
,,,岐阜県,
,,,京都府,
,,,熊本県,
,,,群馬県,
,,,高知県,
,,,埼玉県,
,,,佐賀県,
,,,滋賀県,
,,,静岡県,
,,,島根県,
,,,千葉県,
,,,東京都,
,,,徳島県,
,,,栃木県,
,,,鳥取県,
,,,富山県,
,,,長崎県,
,,,長野県,
,,,奈良県,
,,,新潟県,
,,,兵庫県,
,,,広島県,
,,,福井県,
,,,福岡県,
,,,福島県,
,,,北海道,
,,,三重県,
,,,宮城県,
,,,宮崎県,
,,,山形県,
,,,山口県,
,,,山梨県,
,,,和歌山県,
